project_name,project_name_crawl,project_name_hd,address,city,district,ward,lat_cdnt,long_cdnt,alias,alias_cum_perc,sector,building,max_building_num,project_name_accent_rm
Đức Long Western Park,Đức Long Western Park,,"Đường Lý Chiêu Hoàng, phường An Lạc, quận Bình Tân, Tp.HCM.",TP. Hồ Chí Minh,Q. Bình Tân,P. An Lạc,,,,,,,,Duc Long Western Park
Đức Long Newland,Đức Long Newland,,"Bông Sao, Phố Tạ Quang Bửu, Phường 6, Quận 8, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 08,P. 06,,,,,,,,Duc Long Newland
Đức Long Golden Land,Đức Long Golden Land,,"Đường Huỳnh Tấn Phát, phường Tân Thuận Tây, quận 7, Tp.HCM.",TP. Hồ Chí Minh,Q. 07,P. Tân Thuận Tây,,,,,,,,Duc Long Golden Land
Đồng Phát Resident,Đồng Phát Resident,,"Đường Phan Trọng Tuệ, xã Tam Hiệp và Vĩnh Quỳnh, huyện Thanh Trì, Hà Nội.",TP. Hà Nội,H. Thanh Trì,X. Vĩnh Quỳnh,,,,,,,,Dong Phat Resident
Đồng Phát Park View Tower,Đồng Phát Park View Tower,Đồng Phát Park View Tower,"Đường Tân Mai, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội.",TP. Hà Nội,Q. Hoàng Mai,P. Vĩnh Hưng,20.98195,105.87092,"Căn Hộ Chung Cư Đồng Phát Park View Tower, Đồng Phát Parkview Tower, Bán Căn Hộ Chung Cư Tại Đồng Phát Park View Tower, Đồng Phát Park View Tower, Bán Chung Cư Vĩnh Hưng",0.9970817121,,,,Dong Phat Park View Tower
Đồng Kỵ Golden Square,Đồng Kỵ Golden Square,,"Đường Nguyễn Văn Cừ, Phường Đồng Kỵ, Từ Sơn, Bắc Ninh.",T. Bắc Ninh,TP. Từ Sơn,P. Đồng Kỵ,,,,,,,,Dong Ky Golden Square
Đồng Diều,Chung cư Đồng Diều,,"Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 08,P. 04,,,Chung Cư Đồng Diều,0.5875,,,,Dong Dieu
Đồng Bẩm - Riverside Villas,Đồng Bẩm - Riverside Villas,,"Xã Đồng Bẩm, TP. Thái Nguyên, Thái Nguyên.",T. Thái Nguyên,TP. Thái Nguyên,P. Đồng Bẩm,,,,,,,,Dong Bam - Riverside Villas
Đồi T5,Chung cư Đồi T5,,"Khu dân cư đồi T5, Phường Hồng Hà, Hạ Long, Quảng Ninh.",T. Quảng Ninh,TP. Hạ Long,P. Hồng Hà,,,,,,,,Doi T5
Đầm Sen Tower,Đầm Sen Tower,,"Phường 5, Quận 11, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 11,P. 05,,,,,,,,Dam Sen Tower
Đất Phương Nam,Đất Phương Nam,,"Đường Chu Văn An, Phường 12, Bình Thạnh, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Thạnh,P. 12,,,"Căn Hộ Chung Cư 1050 Chu Văn An, Đất Phương Nam, Bán Chung Cư Chu Văn An, Căn Hộ Chung Cư Đất Phương Nam, Bán Căn Hộ Chung Cư Tại Đất Phương Nam",0.9994061758,,,,Dat Phuong Nam
Đại Từ Garden City,Đại Từ Garden City,,"Thị trấn Hùng Sơn, Đại Từ, Thái Nguyên.",T. Thái Nguyên,H. Đại Từ,TT. Hùng Sơn,,,,,,,,Dai Tu Garden City
Đại Thành,Cao ốc Đại Thành,,"Đường Trịnh Đình Trọng, Phường Phú Trung, Tân Phú, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Tân Phú,P. Phú Trung,,,Chung Cư Đại Thanh,0.6566835499,,,,Dai Thanh
Đại Thanh,Chung cư Đại Thanh,,"Đường Phan Trọng Tuệ, Xã Tả Thanh Oai, Thanh Trì, Hà Nội.",TP. Hà Nội,H. Thanh Trì,X. Tả Thanh Oai,,,Chung Cư Đại Thanh,0.6566835499,,,,Dai Thanh
Đại Quang Minh,Đại Quang Minh,,"Số 10 Mai Chí Thọ, An Lợi Đông, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. An Lợi Đông,,,"Bán Chung Cư Khu Đô Thị Sala Thủ Thiêm, Bán Căn Hộ Chung Cư Tại Đại Quang Minh, Đại Quang Minh",1.0,,,,Dai Quang Minh
Đại Phước Lotus,Đại Phước Lotus,,"Xã Đại Phước, Nhơn Trạch, Đồng Nai.",T. Đồng Nai,H. Nhơn Trạch,X. Đại Phước,,,,,,,,Dai Phuoc Lotus
Đại Phước Center City 2,Đại Phước Center City 2,,"Đường Lý Thái Tổ, Xã Đại Phước, Nhơn Trạch, Đồng Nai.",T. Đồng Nai,H. Nhơn Trạch,X. Đại Phước,,,,,,,,Dai Phuoc Center City 2
Đại Phước Center City,Đại Phước Center City,,"Đường Lý Thái Tổ, xã Đại Phước, Nhơn Trạch, Đồng Nai.",T. Đồng Nai,H. Nhơn Trạch,X. Đại Phước,,,,,,,,Dai Phuoc Center City
Đại Phúc Town,Đại Phúc Town,,"Đường Phạm Hùng, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh.",TP. Hồ Chí Minh,H. Bình Chánh,X. Bình Hưng,,,,,,,,Dai Phuc Town
Đại Phúc Green Villas,Đại Phúc Green Villas,,"Đường Phạm Hùng, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh.",TP. Hồ Chí Minh,H. Bình Chánh,X. Bình Hưng,,,,,,,,Dai Phuc Green Villas
Đại An - Saigon Riverside,Đại An - Saigon Riverside,,"101 Bình Quới, Phường 27, Bình Thạnh, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Thạnh,P. 27,,,,,,,,Dai An - Saigon Riverside
Đường Sắt,Chung cư Đường Sắt,,"35 Láng Hạ, Phường Thành Công, Ba Đình, Hà Nội.",TP. Hà Nội,Q. Ba Đình,P. Thành Công,,,Bán Chung Cư Láng Hạ,1.0,,,,Duong Sat
Đông Đô Đại Phố,Đông Đô Đại Phố,,"Đường Đại Lộ Bình Dương, Phường Phú Cường, Thủ Dầu Một, Bình Dương.",T. Bình Dương,TP. Thủ Dầu Một,P. Phú Cường,,,,,,,,Dong Do Dai Pho
Đông Đô,Chung cư Đông Đô,Đông Đô Residence,"Ngõ 106 Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội.",TP. Hà Nội,Q. Cầu Giấy,P. Nghĩa Đô,,,"Đông Đô, Chung Cư Đông Đô",0.7457627119,,,,Dong Do
Đông Hưng,Chung cư Đông Hưng,,"Đường Đông Hưng Thuận 10, Phường Tân Hưng Thuận, Quận 12, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 12,P. Tân Hưng Thuận,,,Chung Cư Đông Hưng,0.75,,,,Dong Hung
Đông Dương Green,Đông Dương Green,,"Xã Cương Gián, Nghi Xuân, Hà Tĩnh.",T. Hà Tĩnh,H. Nghi Xuân,X. Cương Gián,,,,,,,,Dong Duong Green
Đông Bắc Tower,Đông Bắc Tower,,"Đường Trường Thi, Phường Trường Thi, Thanh Hóa, Thanh Hóa.",T. Thanh Hóa,TP. Thanh Hóa,P. Trường Thi,,,,,,,,Dong Bac Tower
Đông Bắc Goldland Plaza,Đông Bắc Goldland Plaza,,"536 Đường Nguyễn Văn Cừ, Hạ Long, Quảng Ninh.",T. Quảng Ninh,TP. Hạ Long,UNK,,,,,,,,Dong Bac Goldland Plaza
Đình Tổ Luxury Homes,Đình Tổ Luxury Homes,,"Xã Đình Tổ, Thuận Thành, Bắc Ninh.",T. Bắc Ninh,H. Thuận Thành,X. Đình Tổ,,,,,,,,Dinh To Luxury Homes
Đào Duy Từ,Chung cư Đào Duy Từ,,"Đường Thành Thái, Phường 14, Quận 10, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 10,P. 14,,,"Căn Hộ Chung Cư Đào Duy Từ, Chung Cư Đào Duy Từ",0.7642276423,,,,Dao Duy Tu
Đà Nẵng Plaza,Đà Nẵng Plaza,Đà Nẵng Plaza,"Số 6 Nguyễn Du, Phường Thạch Thang, Hải Châu, Đà Nẵng.",TP. Đà Nẵng,Q. Hải Châu,P. Thạch Thang,16.079461,108.22274,,,,,,Da Nang Plaza
Đà Nẵng Pearl,Đà Nẵng Pearl,,"Phố Trần Đại Nghĩa, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng.",TP. Đà Nẵng,Q. Ngũ Hành Sơn,P. Hòa Hải,,,,,,,,Da Nang Pearl
Đà Lạt Star Hill,Đà Lạt Star Hill,,"Đường Hùng Vương, Phường 10, Đà Lạt, Lâm Đồng.",T. Lâm Đồng,TP. Đà Lạt,P. 10,,,,,,,,Da Lat Star Hill
Đà Lạt Center,Đà Lạt Center,,"Đường Phan Bội Châu, Phường 1, Đà Lạt, Lâm Đồng.",T. Lâm Đồng,TP. Đà Lạt,P. 01,,,,,,,,Da Lat Center
Điềm Thụy Complex,Điềm Thụy Complex,,"Đường Tỉnh lộ 266, Xã Điềm Thụy, Phú Bình, Thái Nguyên.",T. Thái Nguyên,H. Phú Bình,X. Điềm Thụy,,,,,,,,Diem Thuy Complex
Âu Cơ Tower,Âu Cơ Tower,Chung cư Âu Cơ Tower,"659 Âu Cơ, Phường Tân Thành, Tân Phú, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Tân Phú,P. Tân Thành,10.78726876,106.6404656,Âu Cơ Tower,0.6494949495,,,,Au Co Tower
Ánh Dương,Chung cư Ánh Dương,,"Đường Hoàng Quốc Việt, Phường Hùng Thắng, Hạ Long, Quảng Ninh.",T. Quảng Ninh,TP. Hạ Long,P. Hùng Thắng,,,,,,,,Anh Duong
Zen Home,Zen Home,,"Đường Phạm Thế Hiển, Phường 7, Quận 8, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 08,P. 07,,,"Dự Án Shizen Home, Bán Chung Cư Bến Nghé, Shizen Home",1.0,,,,Zen Home
Zeitgeist City,Zeitgeist City,,"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Hồ Chí Minh.",TP. Hồ Chí Minh,H. Nhà Bè,X. Phước Kiển,,,Zeitgeist City,1.0,,,,Zeitgeist City
Z751 Hà Đô,Chung cư Z751 Hà Đô,,"Phan Văn Trị, Phường 10, Gò Vấp, TP. Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Gò Vấp,P. 10,,,"Z751 Hà Đô, Chung Cư Z751 Hà Đô",1.0,,,,Z751 Ha Do
Yên Phong City,Yên Phong City,,"Xã Yên Trung, Yên Phong, Bắc Ninh.",T. Bắc Ninh,H. Yên Phong,X. Yên Trung,,,,,,,,Yen Phong City
Yên Hòa Thăng Long,Chung cư Yên Hòa Thăng Long,,"Tổ 50, Phường Yên Hòa, Cầu Giấy, Hà Nội.",TP. Hà Nội,Q. Cầu Giấy,P. Yên Hòa,,,"Chung Cư Yên Hòa Thăng Long, Yên Hòa Thăng Long",0.7712418301,,,,Yen Hoa Thang Long
Yên Hòa Condominium,Yên Hòa Condominium,259 Yên Hòa Condominium,"Ngõ 259 Yên Hòa, Cầu Giấy, Hà Nội.",TP. Hà Nội,Q. Cầu Giấy,P. Yên Hòa,,,Yên Hòa Condominium,0.5254237288,,,,Yen Hoa Condominium
Young Town Tây Bắc Sài Gòn,Young Town Tây Bắc Sài Gòn,,"Đường ĐT 823, Xã Đức Lập Thượng, Đức Hòa, Long An.",T. Long An,H. Đức Hòa,X. Đức Lập Thượng,,,,,,,,Young Town Tay Bac Sai Gon
Xây Để Ở Dành Cho Cán Bộ Chiến Sỹ Công An Tp. Hà Nội,Chung cư xây để ở dành cho cán bộ chiến sỹ công an TP. Hà Nội,,"Đường Nguyễn Khuyến, Phường Văn Quán, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Văn Quán,,,"Chung Cư Xây Để Ở Dành Cho Cán Bộ Chiến Sỹ Công An Tp. Hà Nội, Bán Căn Hộ Chung Cư Tại Chung Cư Xây Để Ở Dành Cho Cán Bộ Chiến Sỹ Công An Tp. Hà Nội",1.0,,,,Xay De O Danh Cho Can Bo Chien Sy Cong An Tp. Ha Noi
Xuân Phương Tasco,Xuân Phương Tasco,,"Xã Xuân Phương, Nam Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Nam Từ Liêm,P. Xuân Phương,,,"Xuân Phương Tasco, Bán Căn Hộ Chung Cư Tại Xuân Phương Tasco",1.0,,,,Xuan Phuong Tasco
Xuân Phương Residence,Xuân Phương Residence,Xuân Phương Residence,"Phường Phương Canh, Nam Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Nam Từ Liêm,P. Phương Canh,21.03165,105.754731,"Xuân Phương Residence, Bán Chung Cư Phố Trịnh Văn Bô, Bán Căn Hộ Chung Cư Tại Xuân Phương Residence, Xuân Phương Garden, Căn Hộ Chung Cư Xuân Phương Residence",1.0,,,,Xuan Phuong Residence
Xuân Phú Hưng,Xuân Phú Hưng,,"Đường Đinh Gia Quế, Phường  Lam Sơn, Hưng Yên, Hưng Yên.",T. Hưng Yên,TP. Hưng Yên,P. Lam Sơn,,,,,,,,Xuan Phu Hung
Xuân Mai Tower - Ct2 Tô Hiệu,Xuân Mai Tower - CT2 Tô Hiệu,,"Phường Hà Cầu, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Hà Cầu,,,,,,,,Xuan Mai Tower - Ct2 To Hieu
Xuân Mai Tower,Xuân Mai Tower,,"Phường Đông Hương, Thanh Hóa, Thanh Hóa.",T. Thanh Hóa,TP. Thanh Hóa,P. Đông Hương,,,Căn Hộ Chung Cư Xuân Mai Tower,1.0,,,,Xuan Mai Tower
Xuân Mai Sparks Tower,Xuân Mai Sparks Tower,Xuân Mai Sparks Tower,"Đường Tố Hữu, Phường Dương Nội, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Dương Nội,20.960114,105.742619,"Căn Hộ Chung Cư Xuân Mai Tower, Xuân Mai Sparks Tower, Bán Căn Hộ Chung Cư Tại Xuân Mai Sparks Tower, Khu Đô Thị Mới Dương Nội, Kđtm Dương Nội",1.0,,,,Xuan Mai Sparks Tower
Xuân Mai Riverside,Xuân Mai Riverside,Xuân Mai Riverside,"Đường Thanh Bình, Phường Mỗ Lao, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Mộ Lao,20.98424,105.77922,"Bán Căn Hộ Chung Cư Tại Xuân Mai Riverside, Căn Hộ Chung Cư Xuân Mai Riverside, Căn Hộ Chung Cư Sdu Tower 143 Trần Phú, Xuân Mai Riverside, Bán Chung Cư Thanh Bình",0.9938900204,,,,Xuan Mai Riverside
Xuân Mai Complex,Xuân Mai Complex,Xuân Mai Complex,"Đường Tố Hữu, Phường Yên Nghĩa, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Yên Nghĩa,20.9608,105.740654,"Xuân Mai Sparks Tower, Xuân Mai Complex, Xuân Mai Riverside, Bán Căn Hộ Chung Cư Tại Xuân Mai Complex, Căn Hộ Chung Cư Xuân Mai Complex",0.9980053191,,,,Xuan Mai Complex
Xphomes Tân Tây Đô,Chung cư XpHomes Tân Tây Đô,,"Đường Quốc lộ 32, Xã Tân Lập, Đan Phượng, Hà Nội.",TP. Hà Nội,H. Đan Phượng,X. Đan Phượng,,,"Xphomes, Chung Cư Xphomes Tân Tây Đô",0.7695671185,,,,Xphomes Tan Tay Do
Xi Riverview Palace,Xi Riverview Palace,,"Phường An Phú, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. An Phú,,,"Xi Riverview Palace, Bán Căn Hộ Chung Cư Tại Xi Riverview Palace",1.0,,,,Xi Riverview Palace
Xi Grand Court,Xi Grand Court,,"90A Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 10,P. 14,,,"Xi Grand Court, Bán Chung Cư Lý Thường Kiệt, Căn Hộ Chung Cư Xi Grand Court, Bán Căn Hộ Chung Cư Tại Xi Grand Court, Bán Chung Cư Xi Grand Court",0.9983202688,,,,Xi Grand Court
Xanh Villas,Xanh Villas,,"Km 33 Đại lộ Thăng Long, Thạch Thất, Hà Nội.",TP. Hà Nội,H. Thạch Thất,UNK,,,Hoàng Thành Villas,1.0,,,,Xanh Villas
X203 Lĩnh Nam,Chung cư X203 Lĩnh Nam,,"Phường Lĩnh Nam, Hoàng Mai, Hà Nội.",TP. Hà Nội,Q. Hoàng Mai,P. Lĩnh Nam,,,Chung Cư X203 Lĩnh Nam,1.0,,,,X203 Linh Nam
X2 Đại Kim,Chung cư X2 Đại Kim,,"Đường Trần Hòa, Phường Đại Kim, Hoàng Mai, Hà Nội.",TP. Hà Nội,Q. Hoàng Mai,P. Đại Kim,,,Chung Cư X2 Đại Kim,0.5282258065,,,,X2 Dai Kim
Wyndham Thanh Thủy Hotels & Resorts,Wyndham Thanh Thủy Hotels & Resorts,,"Xã Bảo Yên, Thanh Thủy, Phú Thọ.",T. Phú Thọ,H. Thanh Thủy,X. Bảo Yên,,,,,,,,Wyndham Thanh Thuy Hotels & Resorts
Wyndham Soleil Đà Nẵng,Wyndham Soleil Đà Nẵng,Wyndham Soleil Đà Nẵng,"Đường Phạm Văn Đồng, Phường An Hải Bắc, Sơn Trà, Đà Nẵng.",TP. Đà Nẵng,Q. Sơn Trà,P. An Hải Bắc,16.07128,108.244683,,,,,,Wyndham Soleil Da Nang
Wyndham Sailing Bay Resort Quy Nhơn,Wyndham Sailing Bay Resort Quy Nhơn,,"Đường Lê Duẩn, Phường Lý Thường Kiệt, Quy Nhơn, Bình Định.",T. Bình Định,TP. Quy Nhơn,P. Lý Thường Kiệt,,,,,,,,Wyndham Sailing Bay Resort Quy Nhon
Winhouse Hàm Nghi,Winhouse Hàm Nghi,,"69 Đường Hàm Nghi, Phường Hà Huy Tập, Hà Tĩnh, Hà Tĩnh.",T. Hà Tĩnh,TP. Hà Tĩnh,P. Hà Huy Tập,,,,,,,,Winhouse Ham Nghi
Winhome An Phú Đông,Winhome An Phú Đông,,"Đường Vườn Lài, Phường An Phú Đông, Quận 12, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 12,P. An Phú Đông,,,,,,,,Winhome An Phu Dong
Wilton Tower,Wilton Tower,Chung cư Wilton Tower,"Đường D1, Phường 25, Bình Thạnh, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Thạnh,P. 25,10.80223117,106.718025,"Hamilton Complex, Bán Chung Cư Wilton Tower, Wilton Tower, Căn Hộ Chung Cư Wilton Tower, Bán Căn Hộ Chung Cư Tại Wilton Tower",0.9996387283,,,,Wilton Tower
Westpoint - Nam Đường 32,Westpoint - Nam đường 32,,"Thị trấn Trạm Trôi, xã Đức Giang và xã Đức Thượng, Hoài Đức, Hà Nội.",TP. Hà Nội,H. Hoài Đức,X. Đức Thượng,,,,,,,,Westpoint - Nam Duong 32
Western City,Western City,,"Đường Tỉnh lộ 830, Xã An Thạnh, Bến Lức, Long An.",T. Long An,H. Bến Lức,X. An Thạnh,,,,,,,,Western City
Westa Building,Toà nhà cao cấp Westa,Westa Building,"104 Trần Phú, Phường Mỗ Lao, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Mộ Lao,20.978499,105.784709,,,,,,Westa Building
West Intela,West Intela,,"Đường An Dương Vương, Phường 16, Quận 8, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 08,P. 16,,,West Intela,1.0,,,,West Intela
West Gate Park,West Gate Park,Chung cư West Gate Park,"Đường Tân Túc, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh.",TP. Hồ Chí Minh,H. Bình Chánh,X. Bình Chánh,10.68947392,106.5866999,"West Gate Park, Bán Chung Cư Westgate, Westgate",0.7660142349,,,,West Gate Park
Welife City,Welife City,,"Phố Lê Trọng Tấn, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Tân,P. Bình Hưng Hòa B,,,,,,,,Welife City
Watermark,Watermark,,"395 Lạc Long Quân, Phường Nghĩa Đô, Cầu Giấy, Hà Nội.",TP. Hà Nội,Q. Cầu Giấy,P. Nghĩa Đô,,,"Watermark, Căn Hộ Chung Cư Watermark",0.7641921397,,,,Watermark
Waterina Suites,Waterina Suites,,"Khu dân cư Thạnh Mỹ Lợi, phường Thạnh Mỹ Lợi, quận 2, Tp.HCM.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Thạnh Mỹ Lợi,,,Waterina Suites,0.7630522088,,,,Waterina Suites
Waterfront Residences,Waterfront Residences,,"40 Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Thảo Điền,,,,,,,,Waterfront Residences
Waterfront City,Waterfront City,,"Đường Võ Nguyên Giáp, Phường Vĩnh Niệm, Lê Chân, Hải Phòng.",TP. Hải Phòng,Q. Lê Chân,P. Vĩnh Niệm,,,,,,,,Waterfront City
Water Bay,Water Bay,,"Đường Mai Chí Thọ, Phường Bình Khánh,  Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,UNK,,,,,,,,Water Bay
Waseco Building,Waseco Building,,"Số 10 Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Tân Bình,P. 02,,,,,,,,Waseco Building
Vịnh Xuân Đài,Vịnh Xuân Đài,,"Phường Xuân Phú, Sông Cầu, Phú Yên.",T. Phú Yên,TX. Sông Cầu,P. Xuân Phú,,,,,,,,Vinh Xuan Dai
Vị Thanh New City,Vị Thanh New City,,"Đường 19/8, Phường 4, Vị Thanh, Hậu Giang.",T. Hậu Giang,TP. Vị Thanh,P. 04,,,,,,,,Vi Thanh New City
Vạn Đô,Vạn Đô,,"348 Bến Vân Đồn, Phường 1, Quận 4, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 04,P. 01,,,"Bán Chung Cư Bến Vân Đồn, Millennium, Căn Hộ Chung Cư Vạn Đô, Vạn Đô, Plaza Nguyên Hồng",0.6323024055,,,,Van Do
Vạn Phúc City,Vạn Phúc City,,"Đường Cách Mạng Tháng Tám, Phường Cải Đan, Sông Công, Thái Nguyên.",T. Thái Nguyên,TP. Sông Công,P. Cải Đan,,,Urban Green,0.5,,,,Van Phuc City
Vũng Tàu Plaza,Vũng Tàu Plaza,Chung cư Vũng Tàu Plaza,"207 Lê Hồng Phong, Phường 8, Vũng Tàu, Bà Rịa Vũng Tàu.",T. Bà Rịa - Vũng Tàu,TP. Vũng Tàu,P. 08,10.35207103,107.0893153,,,,,,Vung Tau Plaza
Vũng Tàu Pearl,Vũng Tàu Pearl,,"28 Phố Thi Sách, Phường 8, Vũng Tàu, Bà Rịa Vũng Tàu.",T. Bà Rịa - Vũng Tàu,TP. Vũng Tàu,P. 08,,,Vũng Tàu Pearl,1.0,,,,Vung Tau Pearl
Vũng Tàu Melody,Vũng Tàu Melody,Chung cư Vũng Tàu Melody,"Đường Hoàng Hoa Thám, Phường Thắng Tam, Vũng Tàu, Bà Rịa Vũng Tàu.",T. Bà Rịa - Vũng Tàu,TP. Vũng Tàu,P. Thắng Tam,10.33769604,107.0860795,Vũng Tàu Melody,1.0,,,,Vung Tau Melody
Vũng Tàu Gold Sea,Vũng Tàu Gold Sea,,"Đường Hoàng Hoa Thám, phường 2, TP. Vũng Tàu, Bà Rịa - Vũng Tàu.",T. Bà Rịa - Vũng Tàu,TP. Vũng Tàu,P. 02,,,,,,,,Vung Tau Gold Sea
Vũng Tàu Center,Vũng Tàu Center,,"Đường Lê Hồng Phong, Phường Thắng Nhì, Vũng Tàu, Bà Rịa Vũng Tàu.",T. Bà Rịa - Vũng Tàu,TP. Vũng Tàu,P. Thắng Nhì,,,,,,,,Vung Tau Center
Vĩnh Điện Center House,Vĩnh Điện Center House,,"Điện Bàn, Quảng Nam.",T. Quảng Nam,TX. Điện Bàn,UNK,,,,,,,,Vinh Dien Center House
Vĩnh Yên Center City,Vĩnh Yên Center City,,"Đường Nguyễn Khoái, Phường Đồng Tâm, Vĩnh Yên, Vĩnh Phúc.",T. Vĩnh Phúc,TP. Vĩnh Yên,P. Đồng Tâm,,,,,,,,Vinh Yen Center City
Vĩnh Tường,Căn hộ Vĩnh Tường,,"Đường Lộ Tẻ, Phường Tân Tạo A, Bình Tân, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Tân,P. Tân Tạo A,,,"Căn Hộ Chung Cư Vĩnh Tường, Căn Hộ Vĩnh Tường",0.7692307692,,,,Vinh Tuong
Vĩnh Lộc Golden,Vĩnh Lộc Golden,,"Đường Hương lộ  80, Xã Vĩnh Lộc A, Bình Chánh, Hồ Chí Minh.",TP. Hồ Chí Minh,H. Bình Chánh,X. Vĩnh Lộc A,,,Vĩnh Lộc Golden,1.0,,,,Vinh Loc Golden
Văn Phú Victoria,Văn Phú Victoria,The Văn Phú Victoria,"Phường Phú La, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Phú La,20.959465,105.768032,"Văn Phú Victoria, Bán Căn Hộ Chung Cư Tại Văn Phú Victoria, Bán Chung Cư Lê Trọng Tấn, Căn Hộ Chung Cư Văn Phú Victoria, Khu Đô Thị Mới Văn Phú",0.99430019,,,,Van Phu Victoria
Văn Hoa Villas,Văn Hoa Villas,,"Đường Nguyễn Văn Hoa, Phường Thống Nhất, Biên Hòa, Đồng Nai.",T. Đồng Nai,TP. Biên Hòa,P. Thống Nhất,,,,,,,,Van Hoa Villas
Vân Phong Tower,Vân Phong Tower,,"Số 7 Hùng Vương, Phường Lộc Thọ, Nha Trang, Khánh Hòa.",T. Khánh Hòa,TP. Nha Trang,P. Lộc Thọ,,,,,,,,Van Phong Tower
