RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31
102001,0,United States,country,,234938.0,234364.0,234496.0,236015.0,236405.0,237518.0,237763.0,240411.0,242489.0,244501.0,245354.0,245669.0,246321.0,247467.0,249639.0,251691.0,252749.0,253735.0,255622.0,258905.0,260220.0,257703.0,254560.0,257327.0,264466.0,273916.0,280044.0,285048.0,287008.0,287692.0,289711.0,293967.0,300860.0,306410.0,310904.0,313091.0,315744.0,318978.0,322666.0,326150.0,327825.0,328741.0,332083.0,339061.0,348583.0,355630.0,358012.0,353925.0
394913,1,"New York, NY",msa,NY,405728.0,412242.0,410429.0,412516.0,405684.0,406750.0,406682.0,407135.0,406744.0,405945.0,407038.0,409520.0,408746.0,408882.0,411483.0,416480.0,420836.0,422131.0,426060.0,428167.0,432107.0,431333.0,429506.0,424527.0,424942.0,431083.0,445891.0,460496.0,470083.0,471912.0,475056.0,478377.0,486582.0,492853.0,500987.0,505465.0,508665.0,514302.0,518292.0,521230.0,521002.0,522290.0,524993.0,530136.0,539317.0,547306.0,555416.0,563098.0
753899,2,"Los Angeles, CA",msa,CA,630993.0,627601.0,629128.0,629960.0,628599.0,624573.0,622153.0,625316.0,629121.0,629122.0,630193.0,635490.0,637639.0,641477.0,641041.0,645020.0,649867.0,656825.0,662014.0,665687.0,659114.0,651684.0,648296.0,662957.0,685580.0,707527.0,720987.0,728134.0,730671.0,732751.0,741435.0,754680.0,772363.0,789371.0,801773.0,806365.0,809341.0,813795.0,822126.0,829498.0,840554.0,847700.0,859113.0,873041.0,894969.0,908705.0,908743.0,893157.0
394463,3,"Chicago, IL",msa,IL,223449.0,222765.0,223663.0,227847.0,229539.0,230678.0,233614.0,236616.0,237201.0,235634.0,231855.0,230859.0,228330.0,228877.0,230979.0,235264.0,237652.0,237397.0,238913.0,242255.0,246660.0,244145.0,237906.0,235101.0,240624.0,249996.0,259580.0,263501.0,266375.0,265233.0,266614.0,267226.0,269070.0,272305.0,273885.0,274409.0,274035.0,276231.0,279369.0,282338.0,284798.0,286132.0,288336.0,289500.0,293297.0,295136.0,300937.0,300539.0
394514,4,"Dallas, TX",msa,TX,259984.0,255129.0,253270.0,253777.0,254104.0,253334.0,253630.0,255325.0,257828.0,261580.0,263893.0,266121.0,265779.0,263632.0,264836.0,265427.0,267035.0,268169.0,269924.0,271252.0,273054.0,271493.0,272294.0,276349.0,284546.0,290120.0,294602.0,299956.0,301158.0,301315.0,304624.0,310952.0,318994.0,328525.0,337253.0,345094.0,347701.0,348696.0,351283.0,354352.0,358832.0,362678.0,368419.0,375582.0,389474.0,403402.0,411526.0,409728.0
394692,5,"Houston, TX",msa,TX,221144.0,220394.0,220796.0,221676.0,222857.0,222763.0,224152.0,225847.0,227192.0,229137.0,230243.0,231385.0,230811.0,229831.0,229552.0,231038.0,233260.0,235141.0,236609.0,236601.0,237184.0,233817.0,234741.0,239606.0,247976.0,252484.0,255747.0,259143.0,263018.0,264272.0,267283.0,273466.0,280566.0,287451.0,292423.0,295007.0,295343.0,293497.0,295848.0,300976.0,305937.0,309697.0,313986.0,317641.0,323859.0,330281.0,335517.0,336511.0
395209,6,"Washington, DC",msa,VA,385363.0,384499.0,385927.0,386555.0,390463.0,393547.0,396597.0,399827.0,399933.0,398105.0,394966.0,394600.0,395310.0,396228.0,399272.0,406020.0,409334.0,408473.0,409369.0,415884.0,424220.0,419562.0,412282.0,414113.0,425103.0,438010.0,445423.0,449035.0,449061.0,445346.0,440770.0,443574.0,451804.0,465146.0,472202.0,474773.0,474494.0,473553.0,475899.0,477445.0,479616.0,474733.0,473601.0,480887.0,498246.0,512454.0,516720.0,511071.0
394856,7,"Miami, FL",msa,FL,263077.0,262397.0,266353.0,270706.0,272989.0,272462.0,271750.0,276039.0,278019.0,277929.0,275238.0,276162.0,278670.0,279985.0,282788.0,286146.0,288647.0,290126.0,291117.0,296659.0,301153.0,302772.0,300673.0,301633.0,307759.0,316504.0,322068.0,325142.0,326998.0,331045.0,336970.0,341151.0,345539.0,346735.0,349116.0,350242.0,352186.0,355592.0,360193.0,365239.0,371762.0,378067.0,386208.0,393994.0,400986.0,409422.0,414996.0,418524.0
394974,8,"Philadelphia, PA",msa,PA,228026.0,228796.0,229090.0,230729.0,231382.0,233937.0,233810.0,237101.0,238610.0,240066.0,239328.0,240854.0,242461.0,242836.0,241055.0,242006.0,244484.0,247573.0,249712.0,252151.0,258592.0,259307.0,256498.0,252730.0,255964.0,264988.0,270416.0,274279.0,275512.0,278145.0,279083.0,278437.0,277625.0,277013.0,277771.0,280787.0,286359.0,291541.0,293536.0,293617.0,291941.0,295351.0,296984.0,298197.0,297964.0,304825.0,314712.0,319614.0
394347,9,"Atlanta, GA",msa,GA,223174.0,224890.0,228357.0,231161.0,230933.0,230221.0,230854.0,233454.0,234139.0,235847.0,236598.0,238282.0,239456.0,241275.0,243916.0,246811.0,248558.0,249833.0,252010.0,253859.0,256403.0,251618.0,249054.0,250518.0,260726.0,270686.0,278238.0,282115.0,283440.0,284711.0,286883.0,292376.0,298696.0,305955.0,312690.0,317506.0,320778.0,325347.0,332861.0,342079.0,346451.0,347826.0,348818.0,352229.0,357348.0,364767.0,371357.0,374545.0
